Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1858.0,OUT049
FDW14,1577.0,OUT017
NCN55,1887.0,OUT010
FDQ58,2607.0,OUT017
FDY38,5181.0,OUT027
FDH56,1914.0,OUT046
FDL48,591.0,OUT018
FDC48,2781.0,OUT027
FDN33,1509.0,OUT045
FDA36,3075.0,OUT017
FDT44,1993.0,OUT017
FDQ56,1305.0,OUT045
NCC54,1847.0,OUT019
FDU11,2050.0,OUT049
DRL59,889.0,OUT013
FDM24,2564.0,OUT049
FDI57,3085.0,OUT045
DRC12,2759.0,OUT018
NCM42,3195.0,OUT027
FDA46,1131.0,OUT010
FDA31,2799.0,OUT013
NCJ31,3871.0,OUT035
FDG52,803.0,OUT046
NCL19,375.0,OUT019
FDS10,3023.0,OUT035
FDX22,1447.0,OUT010
NCF19,909.0,OUT035
NCE06,2526.0,OUT046
DRC27,3841.0,OUT046
FDE21,2021.0,OUT035
NCR42,-1361.0,OUT019
FDX51,2859.0,OUT018
NCR06,425.0,OUT018
FDU31,4941.0,OUT027
FDU59,2709.0,OUT017
FDR03,4769.0,OUT027
FDS49,2761.0,OUT027
FDD48,-75.0,OUT010
NCF18,3105.0,OUT017
NCD43,3101.0,OUT027
NCD54,1984.0,OUT018
FDY19,-39.0,OUT010
NCY54,2805.0,OUT017
NCL19,2019.0,OUT018
FDP23,1531.0,OUT010
FDC26,1819.0,OUT013
FDR14,-1045.0,OUT010
NCS41,3031.0,OUT035
FDF41,4037.0,OUT035
FDU34,2001.0,OUT046
DRH11,918.0,OUT046
FDM03,1767.0,OUT013
FDS31,3045.0,OUT017
FDJ20,2087.0,OUT017
FDV44,4497.0,OUT027
FDG02,3108.0,OUT049
FDA09,2911.0,OUT013
FDT04,691.0,OUT013
FDL58,2295.0,OUT019
FDE52,1453.0,OUT045
FDW12,2501.0,OUT035
FDL51,3545.0,OUT017
NCY42,3689.0,OUT027
FDR07,1653.0,OUT017
FDN40,2373.0,OUT045
FDB35,2953.0,OUT027
FDA22,2739.0,OUT017
NCL06,4109.0,OUT046
FDI35,2919.0,OUT013
NCW42,3407.0,OUT045
NCX06,2938.0,OUT049
FDC37,3193.0,OUT027
FDZ14,1723.0,OUT018
DRG49,3951.0,OUT049
NCG06,3955.0,OUT045
DRC36,2719.0,OUT045
FDV21,59.0,OUT019
FDB53,2358.0,OUT046
DRP47,2037.0,OUT019
FDA14,2355.0,OUT013
DRC24,2563.0,OUT035
